DIDOLFI BZ INDEX,HASH11 BZ EQUITY,IVVB11 BZ EQUITY,KADIMLB BZ INDEX,KADLOFF BZ INDEX
1.086854,,,,1.02308
1.087329,,,,1.021523
1.08967,,,,1.022977
1.087023,,,,1.025472
1.084807,,,,1.010184
1.072326,,,,1.006171
1.068959,,,,1.004418
1.075751,,,,0.99514
1.06655,,,,1.001261
1.071734,,,,0.99778
1.077558,,,,0.989472
1.089187,,,,0.983533
1.113017,,,,0.992953
1.111324,,,,0.995991
1.119006,,,,0.987943
1.126221,,,,0.984613
1.109852,,,,0.994291
1.113465,,,,0.998204
1.122453,,,,1.001763
1.108262,,,,1.006804
1.106687,,,,0.998688
1.099762,,,,0.992687
1.10341,,,,0.986827
1.091392,,,,0.970578
1.087146,,,,0.969968
1.085369,,,,0.97514
1.086297,,,,0.968129
1.08554,,,,0.967114
1.085617,,,,0.971405
1.083663,,,,0.970503
1.084207,,,,0.993066
1.081682,,,,0.986137
1.079327,,,,0.996158
1.079171,,,,0.987151
1.086483,,,,0.970889
1.094936,,,,0.96548
1.101107,,,,0.953152
1.121231,,,,0.967754
1.115322,,,,0.954745
1.129362,,,,0.948759
1.117128,,,,0.96083
1.117358,,,,0.960733
1.123659,,,,0.956572
1.108508,,,,0.961488
1.120282,,,,0.98047
1.130477,,,,0.969665
1.13359,,,,0.963003
1.100474,,,,0.965815
1.117382,,,,0.976491
1.133442,,,,0.980758
1.135044,,,,0.986782
1.142867,,,,0.984379
1.154738,,,,0.984936
1.189456,,,,0.989124
1.181301,,,,0.996314
1.167414,,,,0.996949
1.166547,,,,1.002507
1.151216,,,,1.003362
1.157789,,,,1.000894
1.144221,,,,1.00153
1.15604,,,,1.005529
1.151852,,,,1.014475
1.165206,,,,1.02128
1.178464,,,,1.026863
1.170385,,,,1.031003
1.170619,,,,1.030911
1.17599,,,,1.029713
1.176094,,,,1.025993
1.17464,,,,1.036011
1.174875,,,,1.035934
1.175781,,,,1.050757
1.188053,,,,1.059819
1.186059,,,,1.054341
1.192485,,,,1.046674
1.203299,,,,1.037151
1.193304,,,,1.04601
1.196514,,,,1.046554
1.200537,,,,1.045803
1.197268,,,,1.050733
1.195784,,,,1.044771
1.203071,,,,1.047509
1.196056,,,,1.055891
1.196486,,,,1.053662
1.185317,,,,1.056628
1.181563,,,,1.049402
1.178013,,,,1.052801
1.175162,,,,1.046434
1.175402,,,,1.046345
1.193795,,,,1.034393
1.199996,,,,1.036428
1.195386,,,,1.028407
1.194514,,,,1.038433
1.180397,,,,1.046422
1.166092,,,,1.040306
1.162415,,,,1.043265
1.151867,,,,1.03709
1.15904,,,,1.030476
1.162389,,,,1.028801
1.162234,,,,1.029013
1.172755,,,,1.02736
1.190293,,,,1.031031
1.201242,,,,1.028533
1.207477,,,,1.027178
1.204675,,,,1.014523
1.221717,,,,1.011461
1.225243,,,,1.021304
1.22834,,,,1.024084
1.215876,,,,1.026826
1.2165,,,,1.032462
1.221251,,,,1.037739
1.232434,,,,1.033821
1.242734,,,,1.030002
1.264119,,,,1.026281
1.259717,,,,1.043619
1.255325,,,,1.047881
1.288171,,,,1.049567
1.280387,,,,1.049007
1.265407,,,,1.045489
1.2338,,,,1.039427
1.205328,,,,1.03576
1.214246,,,,1.02848
1.221042,,,,1.028831
1.219206,,,,1.021603
1.228965,,,,1.012409
1.249306,,,,1.007095
1.251419,,,,1.002696
1.247767,,,,1.000384
1.229899,,,,1.011834
1.23456,,,,1.016283
1.231762,,,,1.030045
1.226425,,,,1.028205
1.225487,,,,1.018494
1.231672,,,,1.025479
1.23147,,,,1.016319
1.255298,,,,1.024207
1.252547,,,,1.026841
1.252039,,,,1.036614
1.255987,,,,1.045249
1.254654,,,,1.03926
1.267224,,,,1.031638
1.274144,,,,1.009599
1.272243,,,,1.024593
1.262553,,,,1.012662
1.287538,,,,1.015247
1.277154,,,,1.027659
1.281377,,,,1.026187
1.257383,,,,1.034531
1.263624,,,,1.034734
1.250921,,,,1.03265
1.249856,,,,1.020749
1.25438,,,,1.023639
1.251816,,,,1.041854
1.254099,,,,1.036256
1.243229,,,,1.037203
1.23621,,,,1.035153
1.215976,,,,1.043083
1.223157,,,,1.041301
1.21142,,,,1.039032
1.216499,,,,1.038211
1.19807,,,,1.030138
1.206101,,,,1.033673
1.193112,,,,1.037533
1.148995,,,,1.035912
1.152601,,,,1.041996
1.163798,,,,1.047303
1.170095,,,,1.056263
1.154585,,,,1.062469
1.171539,,,,1.058421
1.15977,,,,1.058414
1.164388,,,,1.058969
1.18481,,,,1.058518
1.194725,,,,1.042478
1.179312,,,,1.027245
1.165531,,,,1.026978
1.148708,,,,1.028737
1.140402,,,,1.012699
1.134788,,,,1.011077
1.137273,,,,0.995095
1.110338,,,,0.988578
1.123748,,,,0.967821
1.140443,,,,0.961995
1.135401,,,,0.97872
1.14413,,,,0.96754
1.16664,,,,0.968199
1.13823,,,,0.965579
1.103327,,,,0.942783
1.121401,,,,0.936564
1.117729,,,,0.917124
1.146654,,,,0.899858
1.144984,,,,0.913848
1.135669,,,,0.922271
1.144508,,,,0.933785
1.129809,,,,0.934108
1.119406,,,,0.934812
1.111172,,,,0.904152
1.11012,,,,0.893348
1.083635,,,,0.904872
1.060645,,,,0.894296
1.068249,,,,0.895713
1.068381,,,,0.895632
1.081615,,,,0.899816
1.075874,,,,0.92069
1.070473,,,,0.908417
1.116845,,,,0.923426
1.115001,,,,0.927628
1.123505,,,,0.933708
1.114109,,,,0.93828
1.114621,,,,0.937289
1.11633,,,,0.953568
1.129795,,,,0.957498
1.130721,,,,0.95221
1.10279,,,,0.961394
1.100823,,,,0.960841
1.121747,,,,0.958693
1.121019,,,,0.953389
1.08796,,,,0.949327
1.127864,,,,0.961794
1.139118,,,,0.952669
1.139588,,,,0.952851
1.127308,,,,0.933876
1.112566,,,,0.931923
1.135172,,,,0.951069
1.148036,,,,0.959724
1.124287,,,,0.963295
1.180075,,,,0.967642
1.177328,,,,0.960499
1.196889,,,,0.955206
1.251528,,,,0.957067
1.263303,,,,0.948088
1.236439,,,,0.934857
1.233099,,,,0.930564
1.227322,,,,0.93727
1.30688,,,,0.951794
1.29884,,,,0.940202
1.320485,,,,0.924306
1.338722,,,,0.923728
1.327029,,,,0.930621
1.338389,,,,0.939151
1.328563,,,,0.955945
1.332978,,,,0.94948
1.341232,,,,0.953363
1.344201,,,,0.965254
1.362447,,,,0.977791
1.375497,,,,0.997046
1.377838,,,,0.996082
1.363523,,,,0.99363
1.362783,,,,0.988616
1.356051,,,,0.994116
1.409191,,,,0.998721
1.410115,,,,1.004087
1.489042,,,,1.022263
1.494583,,,,1.018828
1.47961,,,,1.003415
1.47808,,,,1.00944
1.48371,,,,1.013449
1.469199,,,,1.010583
1.456104,,,,1.008865
1.461732,,,,1.015081
1.48105,,,,1.002887
1.482449,,,,1.011281
1.484081,,,,1.010925
1.470175,,,,1.001874
1.470893,,,,1.004496
1.47633,,,,1.005179
1.485317,,,,1.002492
1.471366,,,,1.009731
1.461323,,,,1.016943
1.456333,,,,1.019418
1.446641,,,,1.026014
1.439761,,,,1.026648
1.433901,,,,1.031139
1.427473,,,,1.029473
1.445343,,,,1.032848
1.436665,,,,1.036815
1.436454,,,,1.042728
1.43076,,,,1.033653
1.42455,,,,1.027944
1.425879,,,,1.023782
1.425608,,,,1.031893
1.432944,,,,1.029725
1.425017,,,,1.029136
1.42304,,,,1.034137
1.432752,,,,1.027993
1.423808,,,,1.031537
1.399789,,,,1.022917
1.390543,,,,1.01157
1.377028,,,,1.00614
1.379829,,,,0.997384
1.390958,,,,1.00224
1.401444,,,,0.996376
1.40996,,,,1.001003
1.43439,,,,1.0197
1.452348,,,,1.024972
1.427623,,,,1.006579
1.427771,,,,1.006499
1.421961,,,,1.004233
1.404151,,,,1.005086
1.395618,,,,0.999559
1.401848,,,,0.994258
1.422262,,,,0.99902
1.440819,,,,1.000254
1.44637,,,,1.009487
1.444456,,,,0.994886
1.456222,,,,0.97732
1.456162,,,,0.97441
1.481714,,,,0.978611
1.504296,,,,0.981475
1.513524,,,,0.982998
1.526318,,,,0.97834
1.524457,,,,0.9659
1.525771,,,,0.965146
1.524657,,,,0.961201
1.534057,,,,0.962669
1.530925,,,,0.963891
1.524689,,,,0.968135
1.527725,,,,0.9824
1.528579,,,,0.980265
1.523808,,,,0.98071
1.524268,,,,0.98062
1.526173,,,,0.977123
1.52721,,,,0.977998
1.5304,,,,0.984976
1.530859,,,,0.984891
1.529341,,,,0.966155
1.515997,,,,0.977786
1.514074,,,,0.97371
1.495559,,,,0.966541
1.482612,,,,0.965223
1.487552,,,,0.947609
1.483036,,,,0.953036
1.48409,,,,0.950005
1.481605,,,,0.957142
1.479047,,,,0.961489
1.478428,,,,0.956032
1.47649,,,,0.951005
1.489668,,,,0.943189
1.483432,,,,0.939224
1.488082,,,,0.951787
1.488355,,,,0.93931
1.520415,,,,0.926682
1.527889,,,,0.919776
1.531638,,,,0.920702
1.538644,,,,0.913985
1.539566,,,,0.905353
1.529763,,,,0.911532
1.531413,,,,0.886337
1.522198,,,,0.895896
1.542742,,,,0.889777
1.519861,,,,0.905909
1.527821,,,,0.909563
1.52868,,,,0.902055
1.522444,,,,0.91356
1.538072,,,,0.906997
1.558319,,,,0.898416
1.569448,,,,0.904629
1.579262,,,,0.891739
1.576654,,,,0.871871
1.582245,,,,0.879951
1.613552,,,,0.884893
1.633189,,,,0.888493
1.644755,,,,0.893596
1.64584,,,,0.884521
1.640385,,,,0.883065
1.660294,,,,0.898726
1.653814,,,,0.89378
1.650513,,,,0.890858
1.645517,,,,0.899487
1.661462,,,,0.884437
1.650197,,,,0.872381
1.609385,,,,0.876849
1.616158,,,,0.878028
1.627626,,,,0.875875
1.615805,,,,0.865135
1.609674,,,,0.866053
1.600625,,,,0.884911
1.606799,,,,0.89101
1.623171,,,,0.89986
1.623363,,,,0.904248
1.62813,,,,0.909506
1.652903,,,,0.910857
1.663261,,,,0.909206
1.692341,,,,0.932709
1.689185,,,,0.936552
1.691563,,,,0.948891
1.697002,,,,0.945679
1.690972,,,,0.966494
1.695585,,,,0.962176
1.656915,,,,0.956531
1.676101,,,,0.962472
1.690516,,,,0.957292
1.676732,,,,0.950605
1.665161,,,,0.950369
1.659212,,,,0.95889
1.662287,,,,0.959757
1.673409,,,,0.946441
1.66724,,,,0.959762
1.664579,,,,0.972275
1.660223,,,,0.973615
1.671278,,,,0.965061
1.662634,,,,0.967937
1.665296,,,,0.95759
1.661861,,,,0.957187
1.665588,,41.96,,0.963211
1.658885,,42.3,,0.967087
1.671153,,42.11,,0.984684
1.656863,,41.92,,0.990191
1.659868,,41.98,,0.994513
1.659347,,41.97,,0.999816
1.664332,,41.74,,0.993688
1.649468,,42,,0.988778
1.654983,,42.39,,0.999185
1.631961,,42.31,,0.997536
1.642145,,42.11,,1.003699
1.63749,,41.93,,0.995426
1.631331,,41.83,,0.997633
1.631365,,42.02,,0.990881
1.610702,,41.89,,0.978465
1.614758,,42.09,,0.975848
1.623083,,42.42,,0.984626
1.618953,,42.65,,0.982073
1.622249,,42.61,,0.986743
1.632788,,43.19,,0.975061
1.635586,,43.23,,0.982411
1.648996,,43.11,,0.97989
1.652053,,43.77,,0.966249
1.653548,,44.19,,0.967184
1.652092,,44.28,,0.977157
1.634964,,44.38,,0.976875
1.617314,,44.3,,0.973906
1.631077,,44.2,,0.993151
1.650107,,43.94,,1.009225
1.650972,,43.86,,1.013414
1.648852,,43.84,,1.020764
1.649354,,43.84,,1.020681
1.658035,,43.6,,1.016788
1.647394,,43.6,,1.01599
1.659862,,44.13,,1.016495
1.663414,,44.03,,1.02933
1.657175,,44.03,,1.018917
1.661282,,43.96,,1.014343
1.659409,,43.93,,1.019335
1.643908,,43.64,,1.009229
1.636642,,43.4,,1.008061
1.636262,,43.42,,1.003279
1.64403,,43.7,,1.006046
1.642889,,43.9,,1.00331
1.643531,,44.33,,0.999573
1.646186,,44.37,,1.008988
1.647653,,44.39,,1.014603
1.63996,,44.4,,1.01148
1.631203,,44.4,,1.007582
1.631664,,44.4,,1.007498
1.616444,,44.03,,1.014272
1.617729,,44.06,,1.017171
1.624804,,44.15,,1.025518
1.614397,,44.3,,1.024862
1.604542,,44.47,,1.015482
1.616956,,44.65,,1.012635
1.628576,,44.51,,1.024874
1.638129,,44.19,,1.032644
1.655827,,44.3,,1.040151
1.638707,,44.58,,1.033011
1.645593,,44.58,,1.040274
1.652101,,44.51,,1.037842
1.646357,,44.44,,1.035746
1.646157,,44.56,,1.02127
1.658366,,44.7,,1.014455
1.667929,,44.44,,1.001209
1.667662,,44.05,,1.007172
1.65772,,44.12,,1.01943
1.670957,,44.23,,1.013576
1.677926,,44.12,,1.012704
1.67456,,44.28,,1.009956
1.67384,,44.54,,1.003278
1.674606,,44.64,,1.018242
1.673965,,44.45,,1.016104
1.652038,,44.86,,1.010265
1.647349,,44.81,,1.011776
1.661589,,44.7,,1.026538
1.675596,,45.01,,1.032731
1.679196,,45.1,,1.041541
1.662748,,45.1,,1.04268
1.656483,,45.46,,1.04635
1.662618,,45.94,,1.039717
1.68378,,46.26,,1.057912
1.692472,,45.89,,1.05929
1.703089,,45.73,,1.07455
1.70734,,45.32,,1.069938
1.707424,,45.34,,1.086102
1.718588,,45.37,,1.081591
1.737656,,45.69,,1.088738
1.735905,,45.29,,1.090629
1.719514,,45.5,,1.079748
1.698873,,45.44,,1.079789
1.693074,,45.92,,1.056084
1.691481,,46.07,,1.04429
1.694839,,46.39,,1.036744
1.685977,,46.31,,1.039101
1.648243,,46.99,,1.017008
1.645784,,47.08,,1.025331
1.669192,,47.2,,1.038079
1.658606,,47.81,,1.03525
1.649546,,48.14,,1.023376
1.650627,,48.43,,1.016521
1.657681,,48.3,,0.997686
1.663446,,48.36,,0.994505
1.652488,,48.24,,0.997342
1.665762,,48.29,,0.98746
1.65903,,48.41,,1.001421
1.627825,,48.88,,0.970527
1.612226,,48.8,,0.970173
1.601196,,48.94,,0.95086
1.610174,,49.04,,0.955834
1.645753,,49.32,,0.969052
1.713231,,48.4,,1.00323
1.729209,,47.28,,1.010152
1.707441,,47.4,,1.006056
1.713895,,46.71,,1.009277
1.717231,,46.83,,0.983314
